Analyzed: Oh No It's Zombies Arctic Updated (427)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: fenix Race: Terran
ID : 2 PlayerName: DaNuSkA Race: Terran
ID : 3 PlayerName: RachniThane Race: Terran
ID : 4 PlayerName: Toxicpanda Race: Terran
ID : 5 PlayerName: HornyHumplar Race: Terran
ID : 6 PlayerName: David Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Win
Private Lobby

Game Length:[21:551]
Players ammount: 8
Marine rank avg: 9,5
GrandMaster ammount: 4
PURCHASES: 
[01:183] Frosky Spawned MassiveCocoon
[02:623] Frosky Spawned Hunter
[02:991] Frosky Placed/Upgraded ToxicNest
[03:006] Frosky Placed/Upgraded ToxicNest
[03:442] Frosky Spawned MassiveCocoon
[04:882] Frosky Spawned PrimalTownHallUprooted
[05:542] Frosky Bought CreepSpeed
[07:627] Frosky Bought BuildExtractorScienceLabs
[07:627] Frosky Placed/Upgraded AutomatedExtractor
[08:603] Frosky Bought UnlockDropPods
[08:757] Frosky Bought EvolveDropPods
[10:624] Frosky Bought EvolveDropPods
[11:130] Frosky Bought EvolveDropPods
[12:420] Frosky Bought VirulentCreep
[12:923] Frosky Placed/Upgraded ToxicNest
[12:926] Frosky Placed/Upgraded ToxicNest
[13:160] Frosky Placed/Upgraded Virophage
[14:660] Frosky Bought EvolveDropPods
[14:663] Frosky Bought EvolveDropPods
[14:666] Frosky Bought EvolveDropPods
[16:408] Frosky Placed/Upgraded ToxicNest
[16:435] Frosky Placed/Upgraded ToxicNest
[16:602] Frosky Bought BuildExtractorManufacturingSector
[16:602] Frosky Placed/Upgraded AutomatedExtractor
[16:652] Frosky Bought BuildExtractorProcessingFacilities
[16:652] Frosky Placed/Upgraded AutomatedExtractor
[17:894] Frosky Bought AdvancedInfestationContainment
[18:505] Frosky Bought StrainSpeed
[18:525] Frosky Bought PureStrainSpeed
[20:467] Frosky Placed/Upgraded Virophage
[00:588] fenix Unlocked AssaultRifle
[00:699] fenix Placed/Upgraded MiningDroid
[00:737] fenix Unlocked AdvancedDroidEngines
[00:765] fenix Unlocked FragGrenade
[03:575] fenix Unlocked SpecOpsAssaultRifle
[04:796] fenix Unlocked AutoTargetingSystem
[06:339] fenix Unlocked TurboDroidEngines
[06:768] fenix Unlocked MedicShield
[08:376] fenix Unlocked Stimpack
[09:300] fenix Unlocked AutoTurret
[09:532] fenix Unlocked PowerConverter
[12:097] fenix Unlocked HeavyTurret
[19:141] fenix Unlocked SpecOpsFragGrenade
[19:245] fenix Unlocked EnergySuit
[19:246] fenix Unlocked ShieldSuit
[19:246] fenix Unlocked AdvancedShieldSuit
[19:246] fenix Unlocked CombatSuit
[19:246] fenix Unlocked AdvancedCombatSuit
[19:246] fenix Unlocked HazmatSuit
[19:246] fenix Unlocked AdvancedHazmatSuit
[19:246] fenix Unlocked EnergySuit
[20:385] fenix Placed/Upgraded AutoTurret
[00:588] DaNuSkA Unlocked AssaultRifle
[00:667] DaNuSkA Placed/Upgraded MiningDroid
[00:929] DaNuSkA Unlocked SpecOpsAssaultRifle
[03:705] DaNuSkA Unlocked Stimpack
[05:249] DaNuSkA Unlocked SuperStimpack
[07:082] DaNuSkA Unlocked Shieldsiotunlocked
[07:083] DaNuSkA Unlocked ShieldSuit
[07:083] DaNuSkA Unlocked AdvancedShieldSuit
[07:083] DaNuSkA Unlocked CombatSuit
[07:083] DaNuSkA Unlocked AdvancedCombatSuit
[07:083] DaNuSkA Unlocked HazmatSuit
[07:083] DaNuSkA Unlocked AdvancedHazmatSuit
[07:083] DaNuSkA Unlocked ShieldSuit
[07:100] DaNuSkA Unlocked AdvancedShieldSuit
[07:101] DaNuSkA Unlocked ShieldSuit
[07:101] DaNuSkA Unlocked AdvancedShieldSuit
[08:573] DaNuSkA Unlocked AutoTargetingSystem
[10:126] DaNuSkA Unlocked CombatShield
[10:162] DaNuSkA Unlocked EnergyPack
[19:254] DaNuSkA Unlocked SpecOpsSuperStimpack
[00:588] RachniThane Unlocked AssaultRifle
[00:668] RachniThane Placed/Upgraded MiningDroid
[01:063] RachniThane Unlocked ArcWelder
[01:891] RachniThane Unlocked ExplorationDroid
[01:925] RachniThane Placed/Upgraded ExplorationDroid
[02:960] RachniThane Placed/Upgraded ExplorationDroid
[02:988] RachniThane Placed/Upgraded ExplorationDroid
[04:971] RachniThane Unlocked AdvancedDroidEngines
[06:101] RachniThane Unlocked FragGrenade
[08:449] RachniThane Unlocked BioMechanicalRepairDrone
[08:495] RachniThane Unlocked CombatAccelerationDrone
[08:597] RachniThane Placed/Upgraded HealingDrone
[09:010] RachniThane Placed/Upgraded HealingDrone
[09:334] RachniThane Placed/Upgraded HealingDrone
[10:075] RachniThane Placed/Upgraded HealingDrone
[10:809] RachniThane Placed/Upgraded HealingDrone
[11:761] RachniThane Unlocked PsiDisrupter
[13:061] RachniThane Placed/Upgraded PsiIndoctrinator
[13:621] RachniThane Placed/Upgraded PsiIndoctrinator
[00:588] Toxicpanda Unlocked AssaultRifle
[00:667] Toxicpanda Placed/Upgraded MiningDroid
[00:827] Toxicpanda Unlocked AdvancedDroidEngines
[00:846] Toxicpanda Unlocked IncendiaryGrenade
[06:680] Toxicpanda Unlocked Stimpack
[07:611] Toxicpanda Unlocked BeamRifle
[09:229] Toxicpanda Unlocked Flamethrower
[09:232] Toxicpanda Unlocked SpecOpsFlamethrower
[09:650] Toxicpanda Unlocked BioMechanicalRepairDrone
[09:877] Toxicpanda Placed/Upgraded HealingDrone
[10:676] Toxicpanda Placed/Upgraded MiningDroid
[11:885] Toxicpanda Unlocked HazmatSuit
[11:886] Toxicpanda Unlocked ShieldSuit
[11:886] Toxicpanda Unlocked AdvancedShieldSuit
[11:886] Toxicpanda Unlocked CombatSuit
[11:886] Toxicpanda Unlocked AdvancedCombatSuit
[11:886] Toxicpanda Unlocked HazmatSuit
[11:886] Toxicpanda Unlocked AdvancedHazmatSuit
[11:886] Toxicpanda Unlocked HazmatSuit
[11:889] Toxicpanda Unlocked AdvancedHazmatSuit
[11:890] Toxicpanda Unlocked HazmatSuit
[11:890] Toxicpanda Unlocked AdvancedHazmatSuit
[14:984] Toxicpanda Placed/Upgraded HealingDrone
[15:450] Toxicpanda Placed/Upgraded HealingDrone
[15:540] Toxicpanda Placed/Upgraded MiningDroid
[20:584] Toxicpanda Placed/Upgraded HealingDrone
[00:588] HornyHumplar Unlocked AssaultRifle
[00:667] HornyHumplar Placed/Upgraded MiningDroid
[00:705] HornyHumplar Unlocked AdvancedDroidEngines
[01:753] HornyHumplar Unlocked Stimpack
[03:087] HornyHumplar Unlocked BeamRifle
[08:035] HornyHumplar Unlocked SpecOpsPlasmaRifle
[08:494] HornyHumplar Unlocked SuperStimpack
[08:884] HornyHumplar Unlocked MiningCharge
[09:781] HornyHumplar Placed/Upgraded NukePack
[11:534] HornyHumplar Unlocked LongRangeScope
[11:578] HornyHumplar Placed/Upgraded NukePack
[12:243] HornyHumplar Placed/Upgraded NukePack
[13:119] HornyHumplar Unlocked ExplorationDroid
[13:145] HornyHumplar Placed/Upgraded ExplorationDroid
[13:165] HornyHumplar Placed/Upgraded ExplorationDroid
[13:435] HornyHumplar Placed/Upgraded ExplorationDroid
[13:863] HornyHumplar Unlocked AdvancedMiningCharge
[16:497] HornyHumplar Unlocked FlashBang
[16:504] HornyHumplar Unlocked SpecOpsFlashbang
[18:507] HornyHumplar Placed/Upgraded NukePack
Frosky First Alpha Hunter |  Win

Frosky Placed 0 Greaters.
--------------------------------
