Analyzed: Oh No It's Zombies Arctic Map (240)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Wooky Race: Terran
ID : 2 PlayerName: Ahanax Race: Terran
ID : 3 PlayerName: Frosky Race: Zerg
ID : 4 PlayerName: Cruel Race: Terran
ID : 5 PlayerName: DeATH Race: Terran
ID : 6 PlayerName: PartimeHero Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Private Lobby

Game Length:[37:081]
Players ammount: 8
Marine rank avg: 21,166666666666668
GrandMaster ammount: 6
PURCHASES: 
[00:572] Tin Unlocked AssaultRifle
[00:657] Tin Placed/Upgraded MiningDroid
[01:345] Tin Unlocked BioMechanicalRepairDrone
[01:436] Tin Unlocked CombatAccelerationDrone
[01:543] Tin Placed/Upgraded HealingDrone
[02:908] Tin Placed/Upgraded HealingDrone
[03:906] Tin Placed/Upgraded HealingDrone
[06:205] Tin Unlocked ArcWelder
[07:748] Tin Unlocked AutoTurret
[08:842] Tin Placed/Upgraded AutoTurret
[09:204] Tin Unlocked ExplorationDroid
[09:239] Tin Placed/Upgraded ExplorationDroid
[09:246] Tin Placed/Upgraded ExplorationDroid
[09:501] Tin Placed/Upgraded ExplorationDroid
[10:388] Tin Placed/Upgraded AutoTurret
[11:671] Tin Placed/Upgraded AutoTurret
[11:836] Tin Placed/Upgraded AutoTurret
[12:021] Tin Unlocked FlameTurret
[12:296] Tin Placed/Upgraded AutoTurret
[12:488] Tin Placed/Upgraded AutoTurret
[13:199] Tin Placed/Upgraded AutoTurret
[13:924] Tin Unlocked PsiDisrupter
[14:526] Tin Placed/Upgraded PsiIndoctrinator
[15:655] Tin Placed/Upgraded AutoTurret
[15:961] Tin Placed/Upgraded ExplorationDroid
[16:119] Tin Placed/Upgraded AutoTurret
[17:018] Tin Unlocked HeavyTurret
[17:142] Tin Placed/Upgraded AutoTurret
[17:806] Tin Placed/Upgraded AutoTurret
[17:979] Tin Placed/Upgraded AutoTurret
[18:919] Tin Placed/Upgraded AutoTurret
[19:151] Tin Placed/Upgraded AutoTurret
[19:881] Tin Placed/Upgraded AutoTurret
[20:019] Tin Placed/Upgraded AutoTurret
[23:608] Tin Placed/Upgraded AutoTurret
[25:641] Tin Placed/Upgraded AutoTurret
[26:109] Tin Placed/Upgraded AutoTurret
[28:165] Tin Placed/Upgraded AutoTurret
[28:354] Tin Placed/Upgraded AutoTurret
[28:697] Tin Placed/Upgraded AutoTurret
[28:858] Tin Placed/Upgraded AutoTurret
[31:700] Tin Placed/Upgraded AutoTurret
[31:839] Tin Placed/Upgraded AutoTurret
[32:201] Tin Placed/Upgraded AutoTurret
[35:063] Tin Placed/Upgraded AutoTurret
[00:572] Wooky Unlocked AssaultRifle
[01:218] Wooky Placed/Upgraded MiningDroid
[01:386] Wooky Unlocked AdvancedDroidEngines
[04:885] Wooky Unlocked TurboDroidEngines
[09:731] Wooky Unlocked SpecOpsAssaultRifle
[09:746] Wooky Unlocked AutoTargetingSystem
[11:813] Wooky Unlocked Shieldsiotunlocked
[11:864] Wooky Unlocked Stimpack
[13:141] Wooky Unlocked FragGrenade
[13:904] Wooky Unlocked MiningCharge
[14:200] Wooky Placed/Upgraded NukePack
[15:142] Wooky Placed/Upgraded NukePack
[16:636] Wooky Placed/Upgraded NukePack
[19:954] Wooky Unlocked PowerConverter
[19:964] Wooky Unlocked SpecOpsPowerConverter
[20:012] Wooky Unlocked SpecOpsFragGrenade
[20:056] Wooky Unlocked CombatShield
[20:475] Wooky Unlocked EnergyPack
[22:121] Wooky Unlocked OpticalVisor
[23:354] Wooky Unlocked MotionSensor
[23:504] Wooky Placed/Upgraded SensorTower
[23:657] Wooky Placed/Upgraded SensorTower
[23:888] Wooky Placed/Upgraded SensorTower
[25:250] Wooky Unlocked AdvancedMiningCharge
[25:284] Wooky Unlocked BioMechanicalRepairDrone
[25:431] Wooky Placed/Upgraded HealingDrone
[25:582] Wooky Unlocked AutoTurret
[25:756] Wooky Placed/Upgraded AutoTurret
[27:960] Wooky Placed/Upgraded NukePack
[28:106] Wooky Placed/Upgraded NukePack
[28:393] Wooky Placed/Upgraded NukePack
[28:433] Wooky Placed/Upgraded HealingDrone
[28:909] Wooky Placed/Upgraded SensorTower
[33:239] Wooky Unlocked SpecOpsBioMechanicalRepairDrone
[33:284] Wooky Placed/Upgraded HealingDrone
[34:218] Wooky Placed/Upgraded HealingDrone
[34:346] Wooky Placed/Upgraded NukePack
[35:317] Wooky Placed/Upgraded NukePack
[35:369] Wooky Placed/Upgraded HealingDrone
[00:572] Ahanax Unlocked AssaultRifle
[00:651] Ahanax Placed MiningDroid
[00:708] Ahanax Unlocked FragGrenade
[04:178] Ahanax Unlocked AdvancedDroidEngines
[04:267] Ahanax Unlocked SpecOpsFragGrenade
[07:045] Ahanax Unlocked Flamethrower
[07:055] Ahanax Unlocked SpecOpsFlamethrower
