Analyzed: Oh No It's Zombies Arctic Updated (28)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Aaronsarmy Race: Terran
ID : 2 PlayerName: Cruel Race: Terran
ID : 3 PlayerName: Steve Race: Terran
ID : 4 PlayerName: eye Race: Terran
ID : 5 PlayerName: Rainbowjedi Race: Terran
ID : 6 PlayerName: Zepherd Race: Zerg
ID : 7 PlayerName: Security Race: Terran Mengsk
Zepherd Zombie Win
Public Lobby

Game Length:[26:403]
Players ammount: 8
Marine rank avg: 7,166666666666667
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:676] Frosky Placed/Upgraded MiningDroid
[00:796] Frosky Unlocked AdvancedDroidEngines
[03:673] Frosky Unlocked TurboDroidEngines
[05:628] Frosky Unlocked SpecOpsAssaultRifle
[08:360] Frosky Placed/Upgraded MiningDroid
[13:314] Frosky Unlocked CombatSuit
[15:156] Frosky Unlocked AdvancedCombatSuit
[16:559] Frosky Unlocked AutoTargetingSystem
[18:165] Frosky Unlocked Stimpack
[20:476] Frosky Unlocked AutoTurret
[20:515] Frosky Unlocked HeavyTurret
[20:723] Frosky Placed/Upgraded AutoTurret
[24:136] Frosky Placed/Upgraded AutoTurret
[00:588] Aaronsarmy Unlocked AssaultRifle
[00:939] Aaronsarmy Placed/Upgraded MiningDroid
[01:177] Aaronsarmy Unlocked AdvancedDroidEngines
[02:413] Aaronsarmy Unlocked Shotgun
[04:373] Aaronsarmy Unlocked SpecOpsShotgun
[05:346] Aaronsarmy Unlocked CombatShield
[06:965] Aaronsarmy Unlocked IncendiaryBullets
[09:057] Aaronsarmy Unlocked PsiDisrupter
[13:315] Aaronsarmy Bought ShieldSuit
[13:315] Aaronsarmy Bought CombatSuit
[13:315] Aaronsarmy Bought HazmatSuit
[13:315] Aaronsarmy Bought CombatSuit
[15:157] Aaronsarmy Bought CombatSuit
[16:611] Aaronsarmy Placed/Upgraded MiningDroid
[17:700] Aaronsarmy Unlocked Teleporter
[20:015] Aaronsarmy Unlocked SpecOpsTeleporter
[24:292] Aaronsarmy Unlocked Shieldsiotunlocked
[00:588] Cruel Unlocked AssaultRifle
[00:683] Cruel Placed/Upgraded MiningDroid
[00:725] Cruel Unlocked AdvancedDroidEngines
[00:820] Cruel Unlocked FragGrenade
[04:384] Cruel Unlocked TurboDroidEngines
[05:395] Cruel Unlocked Stimpack
[08:337] Cruel Unlocked MedicShield
[08:546] Cruel Unlocked HellfireRocketLauncher
[11:158] Cruel Unlocked SpecOpsHellfireRocketLauncher
[12:389] Cruel Unlocked BioMechanicalRepairDrone
[12:445] Cruel Unlocked MiningCharge
[14:368] Cruel Placed/Upgraded NukePack
[14:378] Cruel Placed/Upgraded HealingDrone
[16:033] Cruel Placed/Upgraded NukePack
[18:337] Cruel Placed/Upgraded NukePack
[18:923] Cruel Placed/Upgraded HealingDrone
[21:790] Cruel Unlocked Teleporter
[22:258] Cruel Placed/Upgraded NukePack
[22:835] Cruel Placed/Upgraded NukePack
[23:985] Cruel Placed/Upgraded HealingDrone
[24:184] Cruel Placed/Upgraded HealingDrone
[24:293] Cruel Bought ShieldSuit
[24:293] Cruel Bought CombatSuit
[24:293] Cruel Bought HazmatSuit
[24:293] Cruel Bought ShieldSuit
[24:379] Cruel Placed/Upgraded HealingDrone
[00:588] Steve Unlocked AssaultRifle
[00:679] Steve Placed/Upgraded MiningDroid
[01:191] Steve Unlocked AdvancedDroidEngines
