Analyzed: Oh No It's Zombies Arctic Updated (110)

ID : 0 PlayerName: minigranja Race: Terran
ID : 1 PlayerName: Kirby Race: Terran
ID : 2 PlayerName: archdracon Race: Zerg
ID : 3 PlayerName: Rio Race: Terran
ID : 4 PlayerName: SkyFireYZ Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Jmsslayer Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
archdracon Zombie Win
Public Lobby

Game Length:[33:180]
Players ammount: 8
Marine rank avg: 7,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] minigranja Unlocked AssaultRifle
[00:911] minigranja Placed/Upgraded MiningDroid
[01:030] minigranja Unlocked Stimpack
[02:067] minigranja Unlocked MedicShield
[04:207] minigranja Unlocked CombatSuit
[06:540] minigranja Unlocked Flamethrower
[08:777] minigranja Unlocked SpecOpsFlamethrower
[10:172] minigranja Unlocked Shieldsiotunlocked
[11:305] minigranja Unlocked IncendiaryGrenade
[13:451] minigranja Unlocked AdvancedShieldSuit
[14:580] minigranja Unlocked Teleporter
[17:915] minigranja Unlocked PsiDisrupter
[18:018] minigranja Placed/Upgraded PsiIndoctrinator
[19:582] minigranja Placed/Upgraded MiningDroid
[19:920] minigranja Placed/Upgraded PsiIndoctrinator
[22:714] minigranja Unlocked LongRangeIncinerators
[23:186] minigranja Unlocked SpecOpsIncendiaryGrenade
[28:264] minigranja Placed/Upgraded MiningDroid
[30:470] minigranja Unlocked MiningCharge
[30:476] minigranja Unlocked AdvancedMiningCharge
[31:637] minigranja Placed/Upgraded NukePack
[00:588] Kirby Unlocked AssaultRifle
[00:791] Kirby Unlocked SpecOpsAssaultRifle
[01:606] Kirby Placed MiningDroid
[04:208] Kirby Bought ShieldSuit
[04:208] Kirby Bought CombatSuit
[04:208] Kirby Bought HazmatSuit
[04:208] Kirby Bought CombatSuit
[04:422] Kirby Unlocked AdvancedDroidEngines
[06:805] Kirby Unlocked TurboDroidEngines
[09:627] Kirby Unlocked Stimpack
[10:173] Kirby Bought ShieldSuit
[10:173] Kirby Bought CombatSuit
[10:173] Kirby Bought HazmatSuit
[10:173] Kirby Bought ShieldSuit
[10:636] Kirby Unlocked AutoTargetingSystem
[11:986] Kirby Unlocked SuperStimpack
[12:120] Kirby Unlocked CombatShield
[13:452] Kirby Bought ShieldSuit
[15:986] Kirby Placed MiningDroid
[19:704] Kirby Unlocked SpecOpsSuperStimpack
[19:824] Kirby Unlocked BioMechanicalRepairDrone
[27:922] Kirby Placed MiningDroid
[29:445] Kirby Unlocked MiningCharge
[30:157] Kirby Unlocked EnergyPack
[30:687] Kirby Unlocked AdvancedMiningCharge
[31:254] Kirby Placed NukePack
[00:552] archdracon Bought PlayerNumber
[01:395] archdracon Spawned MassiveCocoon
[02:835] archdracon Spawned PrimalTownHallUprooted
[03:756] archdracon Spawned MassiveCocoon
[05:196] archdracon Spawned PrimalTownHallUprooted
[05:720] archdracon Spawned MassiveCocoon
[07:160] archdracon Spawned InfestedAbomination
[07:674] archdracon Spawned MassiveCocoon
[09:114] archdracon Spawned InfestedAbomination
[12:973] archdracon Bought CreepSpeed
[14:677] archdracon Bought VirulentCreep
[14:677] archdracon Bought VirulentCreep
[15:233] archdracon Placed/Upgraded NydusCanalCreeper
[16:307] archdracon Bought BuildExtractorScienceLabs
[16:307] archdracon Placed/Upgraded AutomatedExtractor
[18:136] archdracon Bought BuildExtractorExcavationZone
[18:136] archdracon Placed/Upgraded AutomatedExtractor
[18:300] archdracon Bought BuildExtractorScienceLabs
[19:437] archdracon Bought VirulentCreep
[19:437] archdracon Bought VirulentCreep
[19:560] archdracon Placed/Upgraded NydusCanalCreeper
[19:771] archdracon Bought BuildExtractorExcavationZone
[20:411] archdracon Placed/Upgraded NydusCanalCreeper
[22:295] archdracon Bought SpawnNydusWorm
[22:418] archdracon Placed/Upgraded GreaterNydusWorm
[25:029] archdracon Spawned MassiveCocoon
[26:188] archdracon Bought DropshipsFueled
[26:242] archdracon Bought SweepingInfestation
[26:242] archdracon Bought UltimateInfestationResearched
[26:330] archdracon Bought StrainSpeed
[26:345] archdracon Bought PureStrainSpeed
[26:355] archdracon Bought StrainSpeed
[26:469] archdracon Spawned Anubalisk
[28:184] archdracon Bought BuildExtractorProcessingFacilities
[28:184] archdracon Placed/Upgraded AutomatedExtractor
[28:973] archdracon Placed/Upgraded NydusCanalCreeper
[29:289] archdracon Bought HunterlingStrain
[29:887] archdracon Placed/Upgraded GreaterNydusWorm
[29:999] archdracon Bought AdvancedPowerInfestation
[30:850] archdracon Spawned MassiveCocoon
[00:588] Rio Unlocked AssaultRifle
[01:394] Rio Placed/Upgraded MiningDroid
[01:486] Rio Unlocked AdvancedDroidEngines
[04:098] Rio Unlocked TurboDroidEngines
[06:746] Rio Unlocked Stimpack
[09:403] Rio Unlocked BeamRifle
[09:422] Rio Unlocked SpecOpsPlasmaRifle
[09:752] Rio Unlocked CorrosivePlasma
[10:614] Rio Unlocked PsiDisrupter
[11:375] Rio Unlocked MedicShield
[13:670] Rio Unlocked PlasmaRifleMod3
[13:759] Rio Unlocked CombatSuit
[14:348] Rio Unlocked AdvancedCombatSuit
[15:272] Rio Placed/Upgraded PsiIndoctrinator
[17:273] Rio Unlocked SuperStimpack
[17:703] Rio Unlocked EnergyPack
[18:994] Rio Placed/Upgraded PsiIndoctrinator
[19:356] Rio Unlocked SpecOpsPsiDisruptor
[20:561] Rio Unlocked BioMechanicalRepairDrone
[20:581] Rio Unlocked SpecOpsBioMechanicalRepairDrone
[27:679] Rio Placed/Upgraded HealingDrone
[28:187] Rio Placed/Upgraded MiningDroid
[00:588] SkyFireYZ Unlocked AssaultRifle
[00:667] SkyFireYZ Placed/Upgraded MiningDroid
[00:852] SkyFireYZ Unlocked MotionSensor
[01:438] SkyFireYZ Placed/Upgraded SensorTower
[03:043] SkyFireYZ Placed/Upgraded SensorTower
[03:704] SkyFireYZ Placed/Upgraded SensorTower
[04:203] SkyFireYZ Placed/Upgraded SensorTower
[05:088] SkyFireYZ Unlocked Stimpack
[07:260] SkyFireYZ Unlocked IncendiaryGrenade
[09:509] SkyFireYZ Unlocked SpecOpsIncendiaryGrenade
[11:466] SkyFireYZ Unlocked AdvancedDroidEngines
[12:665] SkyFireYZ Unlocked SpecOpsAssaultRifle
[13:760] SkyFireYZ Bought ShieldSuit
[13:760] SkyFireYZ Bought CombatSuit
[13:760] SkyFireYZ Bought HazmatSuit
[13:760] SkyFireYZ Bought CombatSuit
[14:349] SkyFireYZ Bought CombatSuit
[15:524] SkyFireYZ Placed/Upgraded SensorTower
[18:758] SkyFireYZ Placed/Upgraded MiningDroid
[20:798] SkyFireYZ Unlocked BioMechanicalRepairDrone
[20:830] SkyFireYZ Unlocked SpecOpsBioMechanicalRepairDrone
[20:910] SkyFireYZ Placed/Upgraded HealingDrone
[22:425] SkyFireYZ Placed/Upgraded HealingDrone
[26:271] SkyFireYZ Placed/Upgraded HealingDrone
[27:388] SkyFireYZ Placed/Upgraded SensorTower
[29:736] SkyFireYZ Placed/Upgraded HealingDrone
[31:135] SkyFireYZ Placed/Upgraded HealingDrone
[32:058] SkyFireYZ Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:712] Frosky Unlocked AdvancedDroidEngines
[03:919] Frosky Unlocked TurboDroidEngines
[05:635] Frosky Unlocked SpecOpsAssaultRifle
[07:919] Frosky Unlocked Stimpack
[09:121] Frosky Unlocked TitaniumBulletCasings
[11:958] Frosky Unlocked CombatSuit
[13:630] Frosky Unlocked AdvancedCombatSuit
[14:335] Frosky Unlocked AutoTurret
[15:880] Frosky Unlocked HeavyTurret
[15:956] Frosky Unlocked CombatShield
[15:960] Frosky Unlocked QuantumBackpack
[15:966] Frosky Unlocked OpticalVisor
[18:283] Frosky Unlocked Teleporter
[19:133] Frosky Unlocked PsiDisrupter
[20:058] Frosky Placed/Upgraded PsiIndoctrinator
[20:933] Frosky Unlocked BioMechanicalRepairDrone
[21:141] Frosky Placed/Upgraded HealingDrone
[22:165] Frosky Placed/Upgraded AutoTurret
[30:784] Frosky Placed/Upgraded AutoTurret
[31:368] Frosky Placed/Upgraded HealingDrone
[32:181] Frosky Placed/Upgraded HealingDrone
[00:588] Jmsslayer Unlocked AssaultRifle
[00:849] Jmsslayer Unlocked SuperStimpack
[01:674] Jmsslayer Unlocked Shotgun
[07:529] Jmsslayer Unlocked SpecOpsShotgun
[09:543] Jmsslayer Unlocked IncendiaryBullets
[11:959] Jmsslayer Bought ShieldSuit
[11:959] Jmsslayer Bought CombatSuit
[11:959] Jmsslayer Bought HazmatSuit
[11:959] Jmsslayer Bought CombatSuit
[12:825] Jmsslayer Unlocked Stimpack
[13:631] Jmsslayer Bought CombatSuit
[13:682] Jmsslayer Unlocked Shieldsiotunlocked
[17:420] Jmsslayer Unlocked PsiDisrupter
[22:193] Jmsslayer Unlocked PsiDepressor
[13:683] Security Bought ShieldSuit
[13:683] Security Bought CombatSuit
[13:683] Security Bought HazmatSuit
[13:683] Security Bought ShieldSuit
archdracon First Alpha PrimalTownHallUprooted |  Win

archdracon Placed 2 Greaters.
--------------------------------
