Analyzed: Oh No It's Zombies Arctic Updated (62)

ID : 0 PlayerName: Atom Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: KelthuzadxD Race: Terran
ID : 3 PlayerName: Hermit Race: Terran
ID : 4 PlayerName: Zeus Race: Terran
ID : 5 PlayerName: SeaShining Race: Terran
ID : 6 PlayerName: FunTimer Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Frosky Zombie Win
Public Lobby

Game Length:[32:638]
Players ammount: 8
Marine rank avg: 7,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] Atom Unlocked AssaultRifle
[00:667] Atom Placed MiningDroid
[01:111] Atom Unlocked Flamethrower
[03:512] Atom Unlocked SpecOpsFlamethrower
[04:866] Atom Unlocked AdvancedDroidEngines
[06:337] Atom Unlocked Stimpack
[08:692] Atom Unlocked BioMechanicalRepairDrone
[09:876] Atom Unlocked CombatShield
[10:791] Atom Placed HealingDrone
[10:981] Atom Placed HealingDrone
[11:330] Atom Placed HealingDrone
[11:827] Atom Unlocked ThermiteFilaments
[12:444] Atom Unlocked Teleporter
[12:680] Atom Placed HealingDrone
[12:860] Atom Placed HealingDrone
[13:050] Atom Placed HealingDrone
[13:539] Atom Placed HealingDrone
[14:018] Atom Placed HealingDrone
[14:718] Atom Unlocked SpecOpsTeleporter
[15:065] Atom Placed HealingDrone
[15:235] Atom Placed HealingDrone
[15:410] Atom Placed HealingDrone
[16:084] Atom Unlocked Shieldsiotunlocked
[16:334] Atom Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[01:187] Frosky Bought CreepSpeed
[06:040] Frosky Bought CreepSpeed
[09:721] Frosky Bought StrainSpeed
[09:747] Frosky Bought StrainSpeed
[10:572] Frosky Bought StrainSpeed
[13:464] Frosky Bought PureStrainSpeed
[14:375] Frosky Bought PureStrainSpeed
[15:875] Frosky Bought PureStrainSpeed
[16:085] Frosky Bought ShieldSuit
[16:085] Frosky Bought CombatSuit
[16:085] Frosky Bought HazmatSuit
[16:085] Frosky Bought ShieldSuit
[16:626] Frosky Bought StrainSpeed
[17:838] Frosky Bought PureStrainSpeed
[18:516] Frosky Bought StrainSpeed
[20:023] Frosky Placed/Upgraded Virophage
[20:759] Frosky Bought PureStrainSpeed
[21:326] Frosky Bought HunterlingStrain
[23:810] Frosky Bought HunterlingStrain
[25:726] Frosky Bought HunterlingStrain
[26:733] Frosky Bought HunterlingStrain
[27:293] Frosky Bought HunterlingStrain
[28:572] Frosky Bought VirulentCreep
[32:044] Frosky Bought DropshipsFueled
[00:588] KelthuzadxD Unlocked AssaultRifle
[00:922] KelthuzadxD Placed/Upgraded MiningDroid
[01:177] KelthuzadxD Unlocked AdvancedDroidEngines
[04:567] KelthuzadxD Unlocked TurboDroidEngines
[05:777] KelthuzadxD Unlocked BeamRifle
[07:241] KelthuzadxD Unlocked SpecOpsPlasmaRifle
[09:919] KelthuzadxD Unlocked OverloadWeapon
[09:978] KelthuzadxD Unlocked CombatSuit
[15:131] KelthuzadxD Unlocked AdvancedCombatSuit
[15:216] KelthuzadxD Unlocked SuperStimpack
[15:320] KelthuzadxD Unlocked EnergyPack
[15:341] KelthuzadxD Unlocked CombatShield
[15:360] KelthuzadxD Unlocked OpticalVisor
[16:976] KelthuzadxD Placed/Upgraded MiningDroid
[25:327] KelthuzadxD Placed/Upgraded MiningDroid
[26:467] KelthuzadxD Unlocked SpecOpsSuperStimpack
[27:636] KelthuzadxD Unlocked AutoTurret
[29:146] KelthuzadxD Placed/Upgraded AutoTurret
[29:243] KelthuzadxD Unlocked FlameTurret
[29:330] KelthuzadxD Placed/Upgraded AutoTurret
[29:569] KelthuzadxD Placed/Upgraded AutoTurret
[30:322] KelthuzadxD Unlocked BioMechanicalRepairDrone
[30:882] KelthuzadxD Placed/Upgraded HealingDrone
[31:526] KelthuzadxD Placed/Upgraded HealingDrone
[00:588] Hermit Unlocked AssaultRifle
[00:722] Hermit Placed/Upgraded MiningDroid
[04:200] Hermit Unlocked AdvancedDroidEngines
[04:924] Hermit Unlocked TurboDroidEngines
[07:259] Hermit Placed/Upgraded MiningDroid
[09:149] Hermit Unlocked SpecOpsAssaultRifle
[09:979] Hermit Bought ShieldSuit
[09:979] Hermit Bought CombatSuit
[09:979] Hermit Bought HazmatSuit
[09:979] Hermit Bought CombatSuit
[10:728] Hermit Unlocked AutoTargetingSystem
[11:810] Hermit Unlocked PsiDisrupter
[15:132] Hermit Bought CombatSuit
[16:681] Hermit Placed/Upgraded PsiIndoctrinator
[16:984] Hermit Placed/Upgraded MiningDroid
[23:617] Hermit Placed/Upgraded MiningDroid
[23:821] Hermit Unlocked CombatSuit
[23:838] Hermit Unlocked AdvancedCombatSuit
[29:039] Hermit Unlocked Teleporter
[00:588] Zeus Unlocked AssaultRifle
[01:229] Zeus Placed/Upgraded MiningDroid
[01:576] Zeus Unlocked BeamRifle
[06:468] Zeus Unlocked SpecOpsPlasmaRifle
[10:436] Zeus Unlocked SpecOpsAssaultRifle
[10:958] Zeus Unlocked EnergySuit
[10:959] Zeus Unlocked EnergySuit
[17:605] Zeus Unlocked LongRangeScope
[17:821] Zeus Unlocked AutoTurret
[18:055] Zeus Unlocked FlameTurret
[18:407] Zeus Unlocked ForceFieldGrenade
[23:822] Zeus Bought ShieldSuit
[23:822] Zeus Bought CombatSuit
[23:822] Zeus Bought HazmatSuit
[23:822] Zeus Bought CombatSuit
[23:839] Zeus Bought CombatSuit
[29:413] Zeus Placed/Upgraded MiningDroid
[30:013] Zeus Placed/Upgraded AutoTurret
[30:394] Zeus Placed/Upgraded AutoTurret
[30:978] Zeus Placed/Upgraded AutoTurret
[31:194] Zeus Placed/Upgraded AutoTurret
[00:588] SeaShining Unlocked AssaultRifle
[02:000] SeaShining Unlocked BeamRifle
[02:225] SeaShining Placed/Upgraded MiningDroid
[06:552] SeaShining Unlocked SpecOpsPlasmaRifle
[07:023] SeaShining Unlocked CorrosivePlasma
[10:959] SeaShining Bought ShieldSuit
[10:959] SeaShining Bought CombatSuit
[10:959] SeaShining Bought HazmatSuit
[11:144] SeaShining Placed/Upgraded MiningDroid
[13:408] SeaShining Unlocked OverloadWeapon
[18:531] SeaShining Placed/Upgraded MiningDroid
[21:358] SeaShining Unlocked Teleporter
[24:251] SeaShining Unlocked MedicShield
[24:417] SeaShining Unlocked IncendiaryGrenade
[24:439] SeaShining Unlocked SpecOpsIncendiaryGrenade
[24:692] SeaShining Unlocked Shieldsiotunlocked
[28:295] SeaShining Unlocked AutoTurret
[00:588] FunTimer Unlocked AssaultRifle
[02:046] FunTimer Unlocked AdvancedDroidEngines
[04:017] FunTimer Unlocked Shieldsiotunlocked
[06:746] FunTimer Unlocked TurboDroidEngines
[08:665] FunTimer Unlocked PsiDisrupter
[10:993] FunTimer Unlocked PsiDepressor
[15:586] FunTimer Unlocked SpecOpsAssaultRifle
[18:191] FunTimer Unlocked AutoTargetingSystem
[20:860] FunTimer Unlocked MiningCharge
[21:721] FunTimer Unlocked Teleporter
[21:845] FunTimer Unlocked ForceFieldGrenade
[24:693] FunTimer Bought ShieldSuit
[24:693] FunTimer Bought CombatSuit
[24:693] FunTimer Bought HazmatSuit
[24:693] FunTimer Bought ShieldSuit
[04:018] Security Bought ShieldSuit
[04:018] Security Bought CombatSuit
[04:018] Security Bought HazmatSuit
[04:018] Security Bought ShieldSuit

Frosky Placed 0 Greaters.
--------------------------------
