Analyzed: Oh No It's Zombies Arctic Updated (46)

ID : 0 PlayerName: Cruel Race: Terran
ID : 1 PlayerName: FireFurry Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: Tenshi Race: Terran
ID : 5 PlayerName: Aree Race: Terran
ID : 6 PlayerName: ForPutin Race: Zerg
ID : 7 PlayerName: Security Race: Terran
ForPutin Zombie Win
Public Lobby

Game Length:[20:434]
Players ammount: 8
Marine rank avg: 3,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] Cruel Unlocked AssaultRifle
[00:780] Cruel Unlocked Stimpack
[01:518] Cruel Unlocked ArcWelder
[03:729] Cruel Placed/Upgraded MiningDroid
[05:967] Cruel Unlocked AdvancedDroidEngines
[06:738] Cruel Unlocked TurboDroidEngines
[07:459] Cruel Unlocked BioMechanicalRepairDrone
[07:588] Cruel Placed/Upgraded HealingDrone
[08:548] Cruel Unlocked MotionSensor
[09:005] Cruel Placed/Upgraded SensorTower
[09:503] Cruel Unlocked CombatAccelerationDrone
[09:840] Cruel Placed/Upgraded HealingDrone
[10:027] Cruel Placed/Upgraded HealingDrone
[10:303] Cruel Placed/Upgraded HealingDrone
[10:679] Cruel Placed/Upgraded HealingDrone
[10:921] Cruel Placed/Upgraded HealingDrone
[11:053] Cruel Placed/Upgraded HealingDrone
[11:201] Cruel Placed/Upgraded HealingDrone
[13:516] Cruel Placed/Upgraded SensorTower
[13:962] Cruel Placed/Upgraded MiningDroid
[14:498] Cruel Placed/Upgraded HealingDrone
[14:643] Cruel Placed/Upgraded HealingDrone
[14:778] Cruel Placed/Upgraded HealingDrone
[15:741] Cruel Unlocked PsiDisrupter
[16:443] Cruel Placed/Upgraded PsiIndoctrinator
[16:518] Cruel Placed/Upgraded SensorTower
[16:860] Cruel Placed/Upgraded PsiIndoctrinator
[17:646] Cruel Unlocked PsiDepressor
[18:298] Cruel Placed/Upgraded HealingDrone
[18:452] Cruel Placed/Upgraded HealingDrone
[18:813] Cruel Unlocked AutoTurret
[18:835] Cruel Placed/Upgraded AutoTurret
[19:686] Cruel Placed/Upgraded AutoTurret
[00:588] FireFurry Unlocked AssaultRifle
[00:950] FireFurry Unlocked SpecOpsAssaultRifle
[02:198] FireFurry Placed/Upgraded MiningDroid
[06:202] FireFurry Unlocked AdvancedDroidEngines
[08:461] FireFurry Placed/Upgraded MiningDroid
[13:512] FireFurry Placed/Upgraded MiningDroid
[14:634] FireFurry Unlocked TitaniumBulletCasings
[14:682] FireFurry Unlocked OverloadWeapon
[14:780] FireFurry Unlocked HazmatSuit
[17:490] FireFurry Placed/Upgraded MiningDroid
[19:387] FireFurry Placed/Upgraded MiningDroid
[00:588] Frosky Unlocked AssaultRifle
[00:670] Frosky Placed/Upgraded MiningDroid
[00:867] Frosky Unlocked AdvancedDroidEngines
[02:779] Frosky Unlocked TurboDroidEngines
[05:415] Frosky Unlocked SpecOpsAssaultRifle
[07:492] Frosky Unlocked CombatSuit
[10:528] Frosky Unlocked AdvancedCombatSuit
[11:853] Frosky Unlocked TitaniumBulletCasings
[14:781] Frosky Bought ShieldSuit
[14:781] Frosky Bought CombatSuit
[14:781] Frosky Bought HazmatSuit
[14:781] Frosky Bought HazmatSuit
[00:588] RyK Unlocked AssaultRifle
[00:695] RyK Placed/Upgraded MiningDroid
[00:996] RyK Unlocked AdvancedDroidEngines
[03:936] RyK Unlocked TurboDroidEngines
[05:818] RyK Unlocked HellfireRocketLauncher
[06:778] RyK Unlocked SpecOpsHellfireRocketLauncher
[07:493] RyK Bought ShieldSuit
[07:493] RyK Bought CombatSuit
[07:493] RyK Bought HazmatSuit
[07:493] RyK Bought CombatSuit
[08:753] RyK Unlocked ShockwaveMissiles
[08:832] RyK Unlocked CombatSuit
[10:529] RyK Bought CombatSuit
[14:359] RyK Unlocked Stimpack
[00:588] Tenshi Unlocked AssaultRifle
[08:833] Tenshi Bought ShieldSuit
[08:833] Tenshi Bought CombatSuit
[08:833] Tenshi Bought HazmatSuit
[08:833] Tenshi Bought CombatSuit
