Analyzed: Oh No It's Zombies Arctic Updated (60)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: RyK Race: Terran
ID : 2 PlayerName: mari Race: Zerg
ID : 3 PlayerName: KelthuzadxD Race: Terran
ID : 4 PlayerName: Zepherd Race: Terran
ID : 5 PlayerName: PlayerZero Race: Terran
ID : 6 PlayerName: newdawn Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
mari Zombie Win
Public Lobby

Game Length:[34:163]
Players ammount: 8
Marine rank avg: 12,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:895] Frosky Placed/Upgraded MiningDroid
[01:190] Frosky Unlocked AdvancedDroidEngines
[05:724] Frosky Unlocked TurboDroidEngines
[07:208] Frosky Unlocked SpecOpsAssaultRifle
[09:061] Frosky Unlocked Stimpack
[12:511] Frosky Unlocked CombatSuit
[12:530] Frosky Unlocked AdvancedCombatSuit
[12:626] Frosky Unlocked AutoTurret
[17:800] Frosky Placed/Upgraded AutoTurret
[19:838] Frosky Placed/Upgraded AutoTurret
[20:672] Frosky Placed/Upgraded AutoTurret
[21:305] Frosky Placed/Upgraded AutoTurret
[22:651] Frosky Placed/Upgraded AutoTurret
[22:955] Frosky Placed/Upgraded AutoTurret
[23:264] Frosky Placed/Upgraded AutoTurret
[00:588] RyK Unlocked AssaultRifle
[00:667] RyK Placed MiningDroid
[00:778] RyK Unlocked IncendiaryGrenade
[02:493] RyK Unlocked AdvancedDroidEngines
[04:616] RyK Unlocked BeamRifle
[06:052] RyK Unlocked SpecOpsPlasmaRifle
[07:472] RyK Unlocked OpticalVisor
[08:510] RyK Unlocked CombatSuit
[10:928] RyK Placed MiningDroid
[12:512] RyK Bought ShieldSuit
[12:512] RyK Bought CombatSuit
[12:512] RyK Bought HazmatSuit
[12:512] RyK Bought CombatSuit
[12:531] RyK Bought CombatSuit
[13:278] RyK Unlocked Stimpack
[14:742] RyK Unlocked CorrosivePlasma
[14:807] RyK Unlocked MedicShield
[16:496] RyK Unlocked HazmatSuit
[21:468] RyK Unlocked AdvancedHazmatSuit
[28:308] RyK Unlocked SuperStimpack
[00:552] mari Bought PlayerNumber
[00:724] mari Spawned MassiveCocoon
[02:164] mari Spawned Hunter
[02:686] mari Placed/Upgraded ToxicNest
[02:695] mari Placed/Upgraded ToxicNest
[02:746] mari Placed/Upgraded ToxicNest
[03:657] mari Bought CreepSpeed
[04:412] mari Placed/Upgraded ToxicNest
[04:475] mari Placed/Upgraded ToxicNest
[04:548] mari Placed/Upgraded ToxicNest
[05:334] mari Placed/Upgraded ToxicNest
[05:492] mari Bought StrainSpeed
[06:418] mari Placed/Upgraded ToxicNest
[06:612] mari Placed/Upgraded ToxicNest
[06:625] mari Placed/Upgraded ToxicNest
[06:668] mari Bought BuildExtractorScienceLabs
[06:668] mari Placed/Upgraded AutomatedExtractor
[07:151] mari Placed/Upgraded ToxicNest
[08:349] mari Placed/Upgraded ToxicNest
[08:358] mari Placed/Upgraded ToxicNest
[08:511] mari Bought ShieldSuit
[08:511] mari Bought CombatSuit
[08:511] mari Bought HazmatSuit
[08:511] mari Bought CombatSuit
[08:653] mari Bought PureStrainSpeed
[09:087] mari Placed/Upgraded ToxicNest
[09:104] mari Placed/Upgraded ToxicNest
[09:302] mari Bought HunterlingStrain
[09:800] mari Bought BuildExtractorManufacturingSector
[09:800] mari Placed/Upgraded AutomatedExtractor
[10:516] mari Bought BuildExtractorScienceLabs
[10:649] mari Placed/Upgraded ToxicNest
[10:669] mari Placed/Upgraded ToxicNest
[10:679] mari Placed/Upgraded ToxicNest
[10:932] mari Bought StrainVolatile
[11:601] mari Bought VirulentCreep
[11:601] mari Bought VirulentCreep
[11:922] mari Placed/Upgraded ToxicNest
[11:928] mari Placed/Upgraded ToxicNest
[12:304] mari Placed/Upgraded ToxicNest
[13:432] mari Placed/Upgraded ToxicNest
[13:452] mari Placed/Upgraded ToxicNest
[13:570] mari Bought PureStrainVolatile
[14:322] mari Placed/Upgraded ToxicNest
[14:414] mari Bought BuildExtractorProcessingFacilities
[14:414] mari Placed/Upgraded AutomatedExtractor
[14:474] mari Bought ExtractorCostReductionManufacturingSector
[14:474] mari Bought BuildExtractorManufacturingSector
