Analyzed: Oh No It's Zombies Arctic Updated (215)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: RyK Race: Zerg
ID : 2 PlayerName: Cruel Race: Terran
ID : 3 PlayerName: lIllIIIllIIl Race: Terran
ID : 4 PlayerName: Lughar Race: Terran
ID : 5 PlayerName: Marine Race: Terran
ID : 6 PlayerName: Babatine Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
RyK Zombie Loss
Public Lobby

Game Length:[33:939]
Players ammount: 8
Marine rank avg: 11,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:757] Frosky Placed MiningDroid
[00:811] Frosky Unlocked Flamethrower
[04:409] Frosky Unlocked AdvancedDroidEngines
[06:719] Frosky Unlocked TurboDroidEngines
[09:930] Frosky Unlocked SpecOpsFlamethrower
[09:992] Frosky Unlocked BioMechanicalRepairDrone
[10:672] Frosky Unlocked ExplorationDroid
[10:843] Frosky Placed ExplorationDroid
[10:983] Frosky Placed ExplorationDroid
[11:141] Frosky Placed ExplorationDroid
[11:587] Frosky Placed HealingDrone
[14:842] Frosky Unlocked CombatShield
[14:905] Frosky Unlocked CombatSuit
[15:240] Frosky Placed HealingDrone
[15:737] Frosky Placed HealingDrone
[17:799] Frosky Placed HealingDrone
[18:299] Frosky Placed HealingDrone
[18:727] Frosky Placed HealingDrone
[19:376] Frosky Unlocked AdvancedCombatSuit
[19:459] Frosky Placed HealingDrone
[20:226] Frosky Placed HealingDrone
[20:743] Frosky Placed HealingDrone
[22:790] Frosky Unlocked Stimpack
[24:393] Frosky Placed HealingDrone
[26:717] Frosky Placed HealingDrone
[27:708] Frosky Placed HealingDrone
[30:347] Frosky Unlocked Teleporter
[31:281] Frosky Placed HealingDrone
[32:117] Frosky Placed HealingDrone
[00:552] RyK Bought PlayerNumber
[01:414] RyK Spawned MassiveCocoon
[02:106] RyK Bought UnlockDropPods
[02:864] RyK Bought EvolveDropPods
[04:117] RyK Bought EvolveDropPods
[04:127] RyK Bought EvolveDropPods
[05:324] RyK Bought EvolveDropPods
[05:358] RyK Bought EvolveDropPods
[06:645] RyK Bought EvolveDropPods
[07:945] RyK Bought CreepSpeed
[10:892] RyK Placed/Upgraded PrimalSunkenColony
[10:893] RyK Bought SunkenColony
[12:331] RyK Placed/Upgraded PrimalSunkenColony
[12:332] RyK Bought SunkenColony
[13:635] RyK Bought SunkenColony
[14:471] RyK Bought SpawnNydusWorm
[14:508] RyK Placed/Upgraded GreaterNydusWorm
[14:613] RyK Bought SunkenColony
[14:906] RyK Bought ShieldSuit
[14:906] RyK Bought CombatSuit
[14:906] RyK Bought HazmatSuit
[14:906] RyK Bought CombatSuit
[16:672] RyK Bought StrainVolatile
[16:770] RyK Bought PureStrainVolatile
[18:972] RyK Bought KaboomerStrain
[19:377] RyK Bought CombatSuit
[21:429] RyK Placed/Upgraded GreaterNydusWorm
[21:659] RyK Placed/Upgraded PrimalSunkenColony
[21:660] RyK Bought SunkenColony
[22:455] RyK Bought StrainSpeed
[23:131] RyK Bought SunkenColony
[23:331] RyK Bought AdvancedInfestationContainment
[25:228] RyK Bought DropshipsFueled
[25:449] RyK Bought SweepingInfestation
[25:449] RyK Bought UltimateInfestationResearched
[25:492] RyK Bought PureStrainSpeed
[25:500] RyK Bought HunterlingStrain
[26:176] RyK Placed/Upgraded LesserNydusWorm
[26:177] RyK Bought GreaterNydus
[27:926] RyK Placed/Upgraded NydusCanalCreeper
[28:080] RyK Bought StrainSpeed
[29:508] RyK Bought PureStrainSpeed
