Analyzed: Oh No It's Zombies Arctic Map (135)

ID : 0 PlayerName: Labia Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: RedReaperz Race: Terran
ID : 3 PlayerName: DirtyChicken Race: Terran
ID : 4 PlayerName: yduwg Race: Zerg
ID : 5 PlayerName: Galactian Race: Terran
ID : 6 PlayerName: ByoKiller Race: Terran
ID : 7 PlayerName: Security Race: 
yduwg Zombie Win
Public Lobby

Game Length:[32:776]
Players ammount: 8
Marine rank avg: 7,833333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:572] Labia Unlocked AssaultRifle
[00:652] Labia Placed/Upgraded MiningDroid
[02:496] Labia Unlocked AdvancedDroidEngines
[04:573] Labia Unlocked SpecOpsAssaultRifle
[06:677] Labia Unlocked Bayonette
[08:687] Labia Unlocked Shieldsiotunlocked
[08:691] Labia Unlocked AdvancedShieldSuit
[09:926] Labia Unlocked CombatShield
[13:310] Labia Unlocked OverloadWeapon
[15:921] Labia Unlocked TurboDroidEngines
[17:577] Labia Unlocked BioMechanicalRepairDrone
[18:173] Labia Placed/Upgraded HealingDrone
[19:923] Labia Placed/Upgraded HealingDrone
[23:987] Labia Placed/Upgraded HealingDrone
[24:803] Labia Unlocked Teleporter
[24:807] Labia Unlocked SpecOpsTeleporter
[29:102] Labia Unlocked MiningCharge
[29:117] Labia Unlocked AdvancedMiningCharge
[31:319] Labia Placed/Upgraded NukePack
[31:791] Labia Placed/Upgraded HealingDrone
[32:227] Labia Placed/Upgraded HealingDrone
[00:572] Frosky Unlocked AssaultRifle
[00:677] Frosky Placed/Upgraded MiningDroid
[00:731] Frosky Unlocked ArcWelder
[01:544] Frosky Unlocked BioMechanicalRepairDrone
[03:399] Frosky Placed/Upgraded HealingDrone
[03:628] Frosky Placed/Upgraded HealingDrone
[04:069] Frosky Placed/Upgraded HealingDrone
[05:631] Frosky Placed/Upgraded MiningDroid
[06:189] Frosky Placed/Upgraded HealingDrone
[08:151] Frosky Placed/Upgraded MiningDroid
[08:688] Frosky Bought ShieldSuit
[08:688] Frosky Bought CombatSuit
[08:688] Frosky Bought HazmatSuit
[08:688] Frosky Bought ShieldSuit
[08:692] Frosky Bought ShieldSuit
[09:091] Frosky Unlocked CombatAccelerationDrone
[09:153] Frosky Placed/Upgraded HealingDrone
[09:319] Frosky Placed/Upgraded HealingDrone
[10:021] Frosky Unlocked AdvancedDroidEngines
[10:456] Frosky Placed/Upgraded HealingDrone
[11:531] Frosky Unlocked TurboDroidEngines
[12:377] Frosky Unlocked Stimpack
[13:029] Frosky Unlocked CombatSuit
[14:165] Frosky Unlocked AdvancedCombatSuit
[14:190] Frosky Unlocked AIAssistant
[14:217] Frosky Unlocked CombatShield
[14:796] Frosky Unlocked AutoTurret
[15:816] Frosky Unlocked ExplorationDroid
[15:832] Frosky Placed/Upgraded ExplorationDroid
[15:844] Frosky Placed/Upgraded ExplorationDroid
[15:921] Frosky Placed/Upgraded ExplorationDroid
[16:809] Frosky Unlocked PsiDisrupter
[16:942] Frosky Placed/Upgraded PsiIndoctrinator
[17:962] Frosky Placed/Upgraded PsiIndoctrinator
[17:996] Frosky Unlocked PsiDepressor
[19:139] Frosky Placed/Upgraded PsiIndoctrinator
[19:498] Frosky Unlocked HeavyTurret
[19:601] Frosky Unlocked QuantumBackpack
[19:825] Frosky Placed/Upgraded HealingDrone
[20:025] Frosky Placed/Upgraded AutoTurret
[20:173] Frosky Placed/Upgraded HealingDrone
[20:315] Frosky Placed/Upgraded AutoTurret
[21:256] Frosky Placed/Upgraded AutoTurret
[22:282] Frosky Placed/Upgraded AutoTurret
[24:145] Frosky Placed/Upgraded AutoTurret
[24:292] Frosky Placed/Upgraded AutoTurret
[24:423] Frosky Placed/Upgraded AutoTurret
[24:506] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[24:555] Frosky Placed/Upgraded HealingDrone
[24:811] Frosky Unlocked FlashBang
[25:206] Frosky Placed/Upgraded AutoTurret
[25:617] Frosky Placed/Upgraded HealingDrone
[29:074] Frosky Placed/Upgraded HealingDrone
[29:508] Frosky Placed/Upgraded PsiIndoctrinator
[29:812] Frosky Placed/Upgraded HealingDrone
[30:055] Frosky Placed/Upgraded HealingDrone
[00:572] RedReaperz Unlocked AssaultRifle
[00:662] RedReaperz Placed/Upgraded MiningDroid
[01:272] RedReaperz Unlocked AdvancedDroidEngines
[03:499] RedReaperz Unlocked Flamethrower
[05:619] RedReaperz Unlocked SpecOpsFlamethrower
[08:960] RedReaperz Unlocked Stimpack
[09:006] RedReaperz Unlocked BioMechanicalRepairDrone
[09:157] RedReaperz Unlocked CombatShield
[09:518] RedReaperz Placed/Upgraded HealingDrone
[10:268] RedReaperz Placed/Upgraded HealingDrone
[10:568] RedReaperz Unlocked SpecOpsBioMechanicalRepairDrone
[11:086] RedReaperz Placed/Upgraded HealingDrone
[13:030] RedReaperz Bought ShieldSuit
[13:030] RedReaperz Bought CombatSuit
[13:030] RedReaperz Bought HazmatSuit
[13:030] RedReaperz Bought CombatSuit
[13:087] RedReaperz Unlocked Shieldsiotunlocked
[13:099] RedReaperz Unlocked AdvancedShieldSuit
[14:166] RedReaperz Bought CombatSuit
[14:475] RedReaperz Placed/Upgraded HealingDrone
[14:715] RedReaperz Placed/Upgraded HealingDrone
[15:384] RedReaperz Placed/Upgraded HealingDrone
[16:307] RedReaperz Placed/Upgraded HealingDrone
[16:504] RedReaperz Placed/Upgraded HealingDrone
[17:040] RedReaperz Placed/Upgraded HealingDrone
[17:559] RedReaperz Placed/Upgraded HealingDrone
[18:776] RedReaperz Placed/Upgraded HealingDrone
[20:309] RedReaperz Unlocked SuperHealingDrone
[20:497] RedReaperz Unlocked ForceFieldGrenade
[20:726] RedReaperz Placed/Upgraded HealingDrone
[20:940] RedReaperz Placed/Upgraded HealingDrone
[21:317] RedReaperz Placed/Upgraded HealingDrone
[22:602] RedReaperz Unlocked MotionSensor
[22:774] RedReaperz Placed/Upgraded SensorTower
[23:093] RedReaperz Placed/Upgraded HealingDrone
[23:155] RedReaperz Placed/Upgraded SensorTower
[23:754] RedReaperz Placed/Upgraded HealingDrone
[24:174] RedReaperz Placed/Upgraded HealingDrone
[24:463] RedReaperz Unlocked AutoTurret
[24:506] RedReaperz Unlocked FlameTurret
[25:070] RedReaperz Placed/Upgraded AutoTurret
[25:280] RedReaperz Placed/Upgraded AutoTurret
[25:478] RedReaperz Placed/Upgraded AutoTurret
[26:022] RedReaperz Placed/Upgraded AutoTurret
[26:363] RedReaperz Placed/Upgraded AutoTurret
[26:547] RedReaperz Placed/Upgraded AutoTurret
[26:969] RedReaperz Placed/Upgraded HealingDrone
[27:179] RedReaperz Placed/Upgraded HealingDrone
[27:450] RedReaperz Placed/Upgraded HealingDrone
[27:985] RedReaperz Placed/Upgraded HealingDrone
[00:572] DirtyChicken Unlocked AssaultRifle
[00:657] DirtyChicken Placed MiningDroid
[01:184] DirtyChicken Unlocked AdvancedDroidEngines
[04:848] DirtyChicken Placed MiningDroid
[05:002] DirtyChicken Unlocked HellfireRocketLauncher
[13:088] DirtyChicken Bought ShieldSuit
[13:088] DirtyChicken Bought CombatSuit
[13:088] DirtyChicken Bought HazmatSuit
[13:088] DirtyChicken Bought ShieldSuit
[13:100] DirtyChicken Bought ShieldSuit
[13:967] DirtyChicken Placed MiningDroid
[22:871] DirtyChicken Placed MiningDroid
[29:541] DirtyChicken Unlocked SpecOpsHellfireRocketLauncher
[29:582] DirtyChicken Unlocked RocketLauncherMod1
[29:697] DirtyChicken Unlocked CombatSuit
[00:568] yduwg Bought PlayerNumber
[00:857] yduwg Spawned MassiveCocoon
[02:297] yduwg Spawned PrimalTownHallUprooted
[04:932] yduwg Bought CreepSpeed
[07:520] yduwg Bought CreepSpeed
[08:682] yduwg Placed/Upgraded PrimalSunkenColony
[08:683] yduwg Bought SunkenColony
[09:671] yduwg Bought BuildExtractorScienceLabs
[09:671] yduwg Placed/Upgraded AutomatedExtractor
[10:464] yduwg Bought SunkenColony
[12:466] yduwg Bought StrainDamage
[13:523] yduwg Bought PureStrainDamage
[14:854] yduwg Bought DefilerStrain
[16:143] yduwg Bought StrainVolatile
[16:436] yduwg Bought PureStrainVolatile
[17:460] yduwg Bought AdvancedInfestationContainment
[18:831] yduwg Bought AdvancedPowerInfestation
[18:859] yduwg Bought KaboomerStrain
[19:558] yduwg Bought SiphonFuel
[20:190] yduwg Bought BuildExtractorProcessingFacilities
[20:190] yduwg Placed/Upgraded AutomatedExtractor
[21:496] yduwg Bought StrainHealth
[22:246] yduwg Bought BuildExtractorExcavationZone
[22:246] yduwg Placed/Upgraded AutomatedExtractor
[23:056] yduwg Bought PureStrainHealth
[23:114] yduwg Bought SiphonFuel
[23:437] yduwg Placed/Upgraded LocustNest
[24:277] yduwg Bought TankStrain
[25:324] yduwg Spawned MassiveCocoon
[25:384] yduwg Placed/Upgraded NydusCanalCreeper
[25:867] yduwg Bought UnlockDropPods
[26:262] yduwg Bought SiphonFuel
[26:404] yduwg Spawned Underseer
[27:377] yduwg Bought StrainSpeed
[28:097] yduwg Bought DropshipsFueled
[28:397] yduwg Bought SweepingInfestation
[28:397] yduwg Bought UltimateInfestationResearched
[28:659] yduwg Bought PureStrainSpeed
[28:677] yduwg Bought HunterlingStrain
[29:698] yduwg Bought ShieldSuit
[29:698] yduwg Bought CombatSuit
[29:698] yduwg Bought HazmatSuit
[29:698] yduwg Bought CombatSuit
[30:350] yduwg Bought StrainHealth
[30:354] yduwg Bought PureStrainHealth
[31:670] yduwg Bought TankStrain
[32:037] yduwg Bought SpawnNydusWorm
[32:065] yduwg Placed/Upgraded GreaterNydusWorm
[00:572] Galactian Unlocked AssaultRifle
[01:293] Galactian Placed/Upgraded MiningDroid
[01:779] Galactian Unlocked AdvancedDroidEngines
[05:469] Galactian Unlocked BeamRifle
[05:911] Galactian Unlocked IncendiaryGrenade
[27:851] Galactian Unlocked BioMechanicalRepairDrone
[28:109] Galactian Placed/Upgraded HealingDrone
[29:831] Galactian Placed/Upgraded HealingDrone
[30:630] Galactian Placed/Upgraded HealingDrone
[00:572] ByoKiller Unlocked AssaultRifle
[01:852] ByoKiller Unlocked HellfireRocketLauncher
[05:475] ByoKiller Unlocked SpecOpsHellfireRocketLauncher
[13:706] ByoKiller Unlocked FragGrenade
[29:723] ByoKiller Unlocked AutoTurret
yduwg First Alpha PrimalTownHallUprooted |  Win

yduwg Placed 1 Greaters.
--------------------------------
