Analyzed: Oh No It's Zombies Arctic Map (121)

ID : 0 PlayerName: devidog Race: Terran
ID : 1 PlayerName: bonkybonky Race: Terran
ID : 2 PlayerName: ProDem Race: Terran
ID : 3 PlayerName: CuongDeee Race: Terran
ID : 4 PlayerName: OnE Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: bred Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Win
Public Lobby

Game Length:[33:576]
Players ammount: 8
Marine rank avg: 15
GrandMaster ammount: 3
PURCHASES: 
[00:572] devidog Unlocked AssaultRifle
[00:651] devidog Placed/Upgraded MiningDroid
[00:708] devidog Unlocked AdvancedDroidEngines
[04:007] devidog Unlocked TurboDroidEngines
[05:134] devidog Unlocked ExplorationDroid
[05:166] devidog Placed/Upgraded ExplorationDroid
[05:177] devidog Placed/Upgraded ExplorationDroid
[06:093] devidog Unlocked BeamRifle
[07:367] devidog Unlocked Teleporter
[10:289] devidog Unlocked SpecOpsPlasmaRifle
[10:528] devidog Unlocked LongRangeScope
[11:650] devidog Placed/Upgraded ExplorationDroid
[11:655] devidog Placed/Upgraded ExplorationDroid
[11:705] devidog Unlocked OverloadWeapon
[14:551] devidog Unlocked CombatSuit
[14:606] devidog Unlocked AdvancedCombatSuit
[17:824] devidog Unlocked Stimpack
[19:588] devidog Unlocked MiningCharge
[20:234] devidog Placed/Upgraded NukePack
[25:327] devidog Placed/Upgraded MiningDroid
[26:297] devidog Placed/Upgraded NukePack
[26:529] devidog Unlocked MedicShield
[27:749] devidog Placed/Upgraded NukePack
[00:572] bonkybonky Unlocked AssaultRifle
[00:651] bonkybonky Placed/Upgraded MiningDroid
[00:719] bonkybonky Unlocked OverloadWeapon
[03:657] bonkybonky Unlocked AdvancedDroidEngines
[05:626] bonkybonky Unlocked Flamethrower
[06:651] bonkybonky Unlocked SpecOpsFlamethrower
[07:875] bonkybonky Unlocked HazmatSuit
[08:384] bonkybonky Unlocked BioMechanicalRepairDrone
[10:359] bonkybonky Unlocked AdvancedHazmatSuit
[11:321] bonkybonky Placed/Upgraded HealingDrone
[12:344] bonkybonky Unlocked CryoFreeze
[12:416] bonkybonky Unlocked CombatShield
[14:456] bonkybonky Unlocked EnergyPack
[14:463] bonkybonky Unlocked AIAssistant
[14:552] bonkybonky Bought ShieldSuit
[14:552] bonkybonky Bought CombatSuit
[14:552] bonkybonky Bought HazmatSuit
[14:552] bonkybonky Bought CombatSuit
[14:607] bonkybonky Bought CombatSuit
[15:079] bonkybonky Placed/Upgraded MiningDroid
[16:915] bonkybonky Placed/Upgraded HealingDrone
[17:233] bonkybonky Placed/Upgraded HealingDrone
[20:922] bonkybonky Placed/Upgraded HealingDrone
[21:776] bonkybonky Unlocked SuperHealingDrone
[22:790] bonkybonky Placed/Upgraded HealingDrone
[22:992] bonkybonky Placed/Upgraded HealingDrone
[23:258] bonkybonky Placed/Upgraded HealingDrone
[26:185] bonkybonky Unlocked SpecOpsSuperHealingDrone
[27:670] bonkybonky Placed/Upgraded MiningDroid
[30:126] bonkybonky Unlocked ThermiteFilaments
[30:342] bonkybonky Placed/Upgraded HealingDrone
[30:608] bonkybonky Placed/Upgraded HealingDrone
[30:814] bonkybonky Unlocked MiningCharge
[30:823] bonkybonky Unlocked AdvancedMiningCharge
[31:189] bonkybonky Placed/Upgraded HealingDrone
[31:983] bonkybonky Placed/Upgraded HealingDrone
[32:438] bonkybonky Placed/Upgraded HealingDrone
[32:540] bonkybonky Placed/Upgraded NukePack
[00:572] ProDem Unlocked AssaultRifle
[00:651] ProDem Placed/Upgraded MiningDroid
[00:817] ProDem Unlocked AdvancedDroidEngines
[03:205] ProDem Unlocked TurboDroidEngines
[05:088] ProDem Unlocked Flamethrower
[06:353] ProDem Unlocked SpecOpsFlamethrower
[07:786] ProDem Unlocked Stimpack
[07:876] ProDem Bought ShieldSuit
[07:876] ProDem Bought CombatSuit
[07:876] ProDem Bought HazmatSuit
[07:876] ProDem Bought HazmatSuit
[10:360] ProDem Bought HazmatSuit
[11:754] ProDem Unlocked HazmatSuit
[11:764] ProDem Unlocked AdvancedHazmatSuit
[11:829] ProDem Unlocked CryoFreeze
[11:861] ProDem Unlocked BioMechanicalRepairDrone
[13:420] ProDem Placed/Upgraded HealingDrone
[14:814] ProDem Placed/Upgraded MiningDroid
[15:045] ProDem Unlocked Teleporter
[16:333] ProDem Unlocked AutoTurret
[16:521] ProDem Placed/Upgraded AutoTurret
[16:710] ProDem Placed/Upgraded AutoTurret
[16:942] ProDem Placed/Upgraded AutoTurret
[17:492] ProDem Placed/Upgraded AutoTurret
[17:723] ProDem Unlocked CombatShield
[18:397] ProDem Unlocked RechargeDrone
[18:615] ProDem Placed/Upgraded HealingDrone
[18:927] ProDem Placed/Upgraded HealingDrone
[19:448] ProDem Placed/Upgraded AutoTurret
[20:230] ProDem Placed/Upgraded AutoTurret
[21:027] ProDem Placed/Upgraded HealingDrone
[21:668] ProDem Unlocked PsiDisrupter
[21:762] ProDem Placed/Upgraded PsiIndoctrinator
[22:101] ProDem Placed/Upgraded PsiIndoctrinator
[22:560] ProDem Placed/Upgraded HealingDrone
[24:858] ProDem Placed/Upgraded PsiIndoctrinator
[26:950] ProDem Unlocked ForceFieldGrenade
[27:155] ProDem Placed/Upgraded HealingDrone
[28:511] ProDem Placed/Upgraded HealingDrone
[28:941] ProDem Placed/Upgraded HealingDrone
[00:572] CuongDeee Unlocked AssaultRifle
[00:651] CuongDeee Placed/Upgraded MiningDroid
[01:381] CuongDeee Unlocked HellfireRocketLauncher
[03:512] CuongDeee Unlocked SpecOpsHellfireRocketLauncher
[05:739] CuongDeee Placed/Upgraded MiningDroid
[08:226] CuongDeee Unlocked Stimpack
[09:215] CuongDeee Unlocked RocketLauncherMod3
[10:454] CuongDeee Unlocked BioMechanicalRepairDrone
[11:755] CuongDeee Bought ShieldSuit
[11:755] CuongDeee Bought CombatSuit
[11:755] CuongDeee Bought HazmatSuit
[11:755] CuongDeee Bought HazmatSuit
[11:765] CuongDeee Bought HazmatSuit
[13:271] CuongDeee Placed/Upgraded HealingDrone
[14:967] CuongDeee Placed/Upgraded MiningDroid
[15:538] CuongDeee Unlocked AdvancedDroidEngines
[18:583] CuongDeee Unlocked SpecOpsBioMechanicalRepairDrone
[18:642] CuongDeee Unlocked MiningCharge
[18:758] CuongDeee Placed/Upgraded NukePack
[18:777] CuongDeee Placed/Upgraded HealingDrone
[19:477] CuongDeee Placed/Upgraded HealingDrone
[19:837] CuongDeee Placed/Upgraded HealingDrone
[21:876] CuongDeee Unlocked FlashBang
[24:643] CuongDeee Placed/Upgraded HealingDrone
[25:734] CuongDeee Unlocked Teleporter
[26:218] CuongDeee Placed/Upgraded NukePack
[28:496] CuongDeee Placed/Upgraded HealingDrone
[28:561] CuongDeee Placed/Upgraded NukePack
[29:576] CuongDeee Unlocked SpecOpsFlashbang
[30:070] CuongDeee Placed/Upgraded NukePack
[31:426] CuongDeee Placed/Upgraded HealingDrone
[32:030] CuongDeee Placed/Upgraded HealingDrone
[32:549] CuongDeee Placed/Upgraded HealingDrone
[00:572] OnE Unlocked AssaultRifle
[05:282] OnE Placed MiningDroid
[14:040] OnE Unlocked SpecOpsAssaultRifle
[16:244] OnE Placed MiningDroid
[00:568] Frosky Bought PlayerNumber
[01:061] Frosky Spawned MassiveCocoon
[02:501] Frosky Spawned Hunter
[03:403] Frosky Spawned MassiveCocoon
[04:591] Frosky Bought CreepSpeed
[04:843] Frosky Spawned Hunter
[07:486] Frosky Bought BuildExtractorExcavationZone
[07:486] Frosky Placed/Upgraded AutomatedExtractor
[07:762] Frosky Bought VirulentCreep
[07:762] Frosky Bought VirulentCreep
[08:391] Frosky Placed/Upgraded ToxicNest
[08:401] Frosky Placed/Upgraded ToxicNest
[08:932] Frosky Bought BuildExtractorExcavationZone
[09:554] Frosky Bought StrainSpeed
[10:226] Frosky Placed/Upgraded ToxicNest
[10:236] Frosky Placed/Upgraded ToxicNest
[10:247] Frosky Placed/Upgraded ToxicNest
[10:255] Frosky Placed/Upgraded ToxicNest
[10:638] Frosky Placed/Upgraded PrimalSunkenColony
[10:639] Frosky Bought SunkenColony
[13:071] Frosky Bought CreepSpeed
[13:634] Frosky Bought PureStrainSpeed
[14:503] Frosky Bought HunterlingStrain
[15:136] Frosky Bought StrainVolatile
[15:911] Frosky Bought SunkenColony
[16:030] Frosky Bought PureStrainVolatile
[19:541] Frosky Bought StrainSpeed
[19:554] Frosky Bought PureStrainSpeed
[20:511] Frosky Bought HunterlingStrain
[21:570] Frosky Placed/Upgraded NydusCanalCreeper
[22:370] Frosky Bought StrainDamage
[22:524] Frosky Placed/Upgraded PrimalSunkenColony
[22:525] Frosky Bought SunkenColony
[22:705] Frosky Bought SunkenColony
[24:534] Frosky Placed/Upgraded NydusCanalCreeper
[25:214] Frosky Bought DropshipsFueled
[25:335] Frosky Bought UltimateInfestationResearched
[25:654] Frosky Bought GreaterNydus
[26:097] Frosky Bought GreaterNydus
[26:105] Frosky Bought GreaterNydus
[26:665] Frosky Bought GreaterNydus
[26:737] Frosky Bought PureStrainDamage
[26:748] Frosky Bought DefilerStrain
[27:271] Frosky Bought BuildExtractorManufacturingSector
[27:271] Frosky Placed/Upgraded AutomatedExtractor
[27:344] Frosky Spawned MassiveCocoon
[27:516] Frosky Bought GreaterNydus
[27:791] Frosky Bought GreaterNydus
[27:842] Frosky Bought GreaterNydus
[28:022] Frosky Bought GreaterNydus
[28:190] Frosky Placed/Upgraded NydusCanalCreeper
[28:234] Frosky Bought GreaterNydus
[28:424] Frosky Spawned Underseer
[28:477] Frosky Bought GreaterNydus
[28:634] Frosky Bought StrainVolatile
[28:808] Frosky Bought ExtractorCostReductionManufacturingSector
[28:808] Frosky Bought BuildExtractorManufacturingSector
[28:946] Frosky Bought GreaterNydus
[28:957] Frosky Bought GreaterNydus
[29:159] Frosky Bought GreaterNydus
[29:447] Frosky Spawned MassiveCocoon
[29:467] Frosky Spawned MassiveCocoon
[30:075] Frosky Placed/Upgraded NydusCanalCreeper
[30:212] Frosky Bought GreaterNydus
[30:550] Frosky Spawned MassiveCocoon
[30:557] Frosky Spawned MassiveCocoon
[30:887] Frosky Spawned Anubalisk
[30:907] Frosky Spawned Anubalisk
[31:115] Frosky Placed/Upgraded NydusCanalCreeper
[31:990] Frosky Spawned Anubalisk
[31:997] Frosky Spawned Anubalisk
[32:332] Frosky Bought PureStrainVolatile
[32:341] Frosky Bought KaboomerStrain
[32:346] Frosky Bought KaboomerStrain
[00:572] bred Unlocked AssaultRifle
[00:878] bred Unlocked AdvancedDroidEngines
[13:424] bred Unlocked BeamRifle
Frosky First Alpha Hunter |  Win

Frosky Placed 0 Greaters.
--------------------------------
