Analyzed: Oh No It's Zombies Arctic Updated (420)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Bleid Race: Terran
ID : 2 PlayerName: meninoloco Race: Terran
ID : 3 PlayerName: kimchiMan Race: Terran
ID : 4 PlayerName: Basik Race: Terran
ID : 5 PlayerName: ZaqazDeath Race: Terran
ID : 6 PlayerName: Might Race: Zerg
ID : 7 PlayerName: Security Race: Terran Mengsk
Might Zombie Loss
Public Lobby

Game Length:[38:629]
Players ammount: 8
Marine rank avg: 6,833333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:801] Frosky Unlocked Shotgun
[02:062] Frosky Unlocked SpecOpsShotgun
[03:529] Frosky Unlocked SuperStimpack
[04:954] Frosky Unlocked FlashBang
[06:409] Frosky Unlocked AdvancedDroidEngines
[07:122] Frosky Unlocked BioMechanicalRepairDrone
[08:570] Frosky Unlocked ExplorationDroid
[08:632] Frosky Placed/Upgraded ExplorationDroid
[08:720] Frosky Placed/Upgraded ExplorationDroid
[13:643] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[13:692] Frosky Placed/Upgraded HealingDrone
[14:492] Frosky Unlocked AutoTurret
[14:567] Frosky Placed/Upgraded AutoTurret
[14:746] Frosky Placed/Upgraded AutoTurret
[15:238] Frosky Placed/Upgraded HealingDrone
[15:964] Frosky Placed/Upgraded HealingDrone
[16:095] Frosky Unlocked HeavyTurret
[16:172] Frosky Placed/Upgraded AutoTurret
[16:695] Frosky Placed/Upgraded AutoTurret
[16:922] Frosky Placed/Upgraded HealingDrone
[17:180] Frosky Placed/Upgraded HealingDrone
[18:833] Frosky Unlocked CombatSuit
[18:889] Frosky Unlocked AdvancedCombatSuit
[20:214] Frosky Placed/Upgraded HealingDrone
[20:798] Frosky Placed/Upgraded HealingDrone
[22:314] Frosky Placed/Upgraded AutoTurret
[22:491] Frosky Placed/Upgraded AutoTurret
[22:691] Frosky Placed/Upgraded AutoTurret
[23:028] Frosky Placed/Upgraded HealingDrone
[23:291] Frosky Placed/Upgraded AutoTurret
[23:473] Frosky Placed/Upgraded AutoTurret
[23:808] Frosky Placed/Upgraded AutoTurret
[24:233] Frosky Unlocked PsiDisrupter
[25:887] Frosky Placed/Upgraded MiningDroid
[35:071] Frosky Placed/Upgraded PsiIndoctrinator
[35:526] Frosky Placed/Upgraded AutoTurret
[35:709] Frosky Placed/Upgraded AutoTurret
[36:395] Frosky Placed/Upgraded HealingDrone
[37:005] Frosky Placed/Upgraded HealingDrone
[00:588] Bleid Unlocked AssaultRifle
[02:002] Bleid Placed/Upgraded MiningDroid
[03:277] Bleid Unlocked Flamethrower
[03:316] Bleid Unlocked SpecOpsFlamethrower
[06:517] Bleid Unlocked LongRangeIncinerators
[06:621] Bleid Unlocked BioMechanicalRepairDrone
[06:829] Bleid Placed/Upgraded HealingDrone
[07:788] Bleid Unlocked PsiDisrupter
[09:074] Bleid Placed/Upgraded PsiIndoctrinator
[09:334] Bleid Placed/Upgraded HealingDrone
[09:732] Bleid Placed/Upgraded HealingDrone
[10:119] Bleid Placed/Upgraded HealingDrone
[12:189] Bleid Unlocked MedicShield
[12:245] Bleid Unlocked EnergyPack
[12:333] Bleid Unlocked OpticalVisor
[12:837] Bleid Placed/Upgraded MiningDroid
[13:131] Bleid Placed/Upgraded HealingDrone
[14:565] Bleid Placed/Upgraded HealingDrone
[15:144] Bleid Placed/Upgraded HealingDrone
[15:537] Bleid Placed/Upgraded HealingDrone
[15:903] Bleid Unlocked AutoTurret
[18:583] Bleid Placed/Upgraded AutoTurret
[18:834] Bleid Bought ShieldSuit
[18:834] Bleid Bought CombatSuit
[18:834] Bleid Bought HazmatSuit
[18:834] Bleid Bought CombatSuit
[18:890] Bleid Bought CombatSuit
[00:588] kimchiMan Unlocked AssaultRifle
[00:667] kimchiMan Placed/Upgraded MiningDroid
[02:006] kimchiMan Unlocked AdvancedDroidEngines
[03:686] kimchiMan Unlocked TurboDroidEngines
[04:617] kimchiMan Unlocked SpecOpsAssaultRifle
[06:227] kimchiMan Unlocked SuperStimpack
[06:402] kimchiMan Unlocked IncendiaryGrenade
[10:908] kimchiMan Unlocked EnergySuit
[10:909] kimchiMan Unlocked EnergySuit
[10:925] kimchiMan Unlocked AdvancedEnergySuit
[10:926] kimchiMan Unlocked EnergySuit
[10:926] kimchiMan Unlocked AdvancedEnergySuit
[10:984] kimchiMan Unlocked SpecOpsIncendiaryGrenade
