Analyzed: Oh No It's Zombies Arctic Updated (52)

ID : 0 PlayerName: DeadBoris Race: Terran
ID : 1 PlayerName: Cruel Race: Terran
ID : 2 PlayerName: LoogaSlight Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: HornyHumplar Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Frosky Zombie Win
Private Lobby

Game Length:[34:508]
Players ammount: 8
Marine rank avg: 4,333333333333333
GrandMaster ammount: 4
PURCHASES: 
[00:588] DeadBoris Unlocked AssaultRifle
[01:623] DeadBoris Placed/Upgraded MiningDroid
[01:949] DeadBoris Unlocked AdvancedDroidEngines
[03:864] DeadBoris Unlocked SpecOpsAssaultRifle
[05:654] DeadBoris Unlocked MotionSensor
[05:694] DeadBoris Unlocked AdvancedMotionSensor
[06:164] DeadBoris Placed/Upgraded SensorTower
[08:062] DeadBoris Unlocked AutoTargetingSystem
[11:315] DeadBoris Unlocked Stimpack
[13:195] DeadBoris Unlocked CombatSuit
[14:103] DeadBoris Placed/Upgraded SensorTower
[15:030] DeadBoris Unlocked AdvancedCombatSuit
[15:731] DeadBoris Unlocked MedicShield
[20:188] DeadBoris Unlocked PsiDisrupter
[20:202] DeadBoris Unlocked SpecOpsPsiDisruptor
[20:258] DeadBoris Placed/Upgraded PsiIndoctrinator
[23:057] DeadBoris Unlocked OpticalVisor
[23:100] DeadBoris Unlocked EnergyPack
[23:286] DeadBoris Unlocked Teleporter
[25:660] DeadBoris Placed/Upgraded SensorTower
[32:459] DeadBoris Placed/Upgraded SensorTower
[00:588] Cruel Unlocked AssaultRifle
[00:677] Cruel Placed/Upgraded MiningDroid
[00:974] Cruel Unlocked CombatSuit
[03:982] Cruel Unlocked AdvancedCombatSuit
[07:883] Cruel Unlocked SpecOpsAssaultRifle
[10:015] Cruel Unlocked HellfireRocketLauncher
[12:639] Cruel Unlocked AutoTargetingSystem
[12:695] Cruel Unlocked MedicShield
[13:196] Cruel Bought ShieldSuit
