Analyzed: Oh No It's Zombies Arctic Updated (99)

Zombie Undecided
ID : 0 PlayerName: Frosky Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
PURCHASES: 
[00:785] Frosky Spawned MassiveCocoon
[02:668] Frosky Bought StrainHealth
[04:709] Frosky Bought PureStrainHealth
[05:560] Frosky Bought TankStrain
[06:885] Frosky Bought StrainHealth
[10:013] Frosky Bought PureStrainHealth
[11:287] Frosky Bought TankStrain
[12:016] Frosky Bought StrainHealth
[13:337] Frosky Bought PureStrainHealth
[15:368] Frosky Bought TankStrain
[17:218] Frosky Bought StrainHealth
[17:242] Frosky Bought PureStrainHealth
[19:092] Frosky Bought TankStrain
[20:354] Frosky Bought StrainHealth
[21:123] Frosky Bought PureStrainHealth








